song_id,danceability,energy,key,loudness,mode,explicit,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3boEfHCx42xJYpfQl4NUDc,0.328,0.503,6.0,-13.089,1.0,0.0,0.0522,0.0303,4.24e-05,0.159,0.16,120.927
3YuftIhLOyNyL9G29gpyB0,0.586,0.866,7.0,-3.774,0.0,0.0,0.0345,0.00436,0.0,0.25,0.276,148.001
4C5lMl6mvSfcFurWHnJrMw,0.681,0.827,8.0,-5.557,1.0,0.0,0.0341,0.0138,0.0,0.0789,0.271,120.012
4IGUhtEPrvDVQfpHp9QFPj,0.534,0.843,11.0,-5.048,0.0,0.0,0.0414,0.000247,0.000241,0.923,0.281,122.993
1IpIQpeInn8aV4SN9XgCIN,0.496,0.775,5.0,-3.392,0.0,0.0,0.0361,0.122,0.0,0.11,0.283,139.986
3XXst0jdiiNfOc9FUHopmA,0.502,0.389,4.0,-11.08,1.0,0.0,0.0387,0.838,0.0,0.164,0.655,136.93
3aEJMh1cXKEjgh52claxQp,0.585,0.247,1.0,-12.612,1.0,0.0,0.04,0.452,8.85e-06,0.107,0.591,127.15
5mCo4K10tQf80jq6qHUqSQ,0.488,0.68,8.0,-8.414,1.0,0.0,0.0308,0.00786,0.551,0.192,0.761,158.065
4WMsEfJhEFHffirMQh3Mg6,0.549,0.0464,2.0,-18.13,1.0,0.0,0.0333,0.954,0.0,0.133,0.211,104.422
5yGYWR0ZTgaQbjQVq1FFbW,0.662,0.772,11.0,-7.135,1.0,0.0,0.0356,0.332,1.22e-06,0.314,0.914,127.025
7Kl7Umto8BIl4saZsauWUK,0.731,0.474,0.0,-10.878,1.0,0.0,0.0465,0.404,0.0262,0.113,0.655,113.343
5gVQbXxByrJeEEC7Xrd4zv,0.448,0.909,4.0,-4.521,0.0,1.0,0.247,0.122,3.01e-05,0.166,0.255,97.177
1CUSpD7wIrzisOV4cxFyXM,0.4,0.455,6.0,-5.757,1.0,0.0,0.0319,0.197,0.0,0.0789,0.118,123.255
4H4513kSqpInKoAeLM2Sv0,0.409,0.258,3.0,-10.924,1.0,0.0,0.039,0.894,1.43e-05,0.398,0.381,107.164
6zz7ioHJtJPQJBgXXpcuKv,0.503,0.987,5.0,-3.623,1.0,0.0,0.0841,0.000552,0.0852,0.367,0.241,134.982
49RUdNvwSiUTC8fBh4KKoC,0.368,0.403,10.0,-12.699,1.0,0.0,0.0288,0.703,7.66e-06,0.202,0.338,135.384
1tzREQUvfSvoigbSOU60Bx,0.55,0.669,1.0,-7.826,1.0,1.0,0.275,0.319,0.0,0.131,0.896,170.617
5xYvsBGoYbfNzcV5Y94ZVx,0.691,0.7,11.0,-6.695,0.0,0.0,0.0274,0.00457,0.186,0.245,0.618,128.005
13XboVZBOVtPPGGxpPKCFf,0.34,0.436,11.0,-11.441,0.0,0.0,0.0283,0.000322,0.704,0.13,0.272,110.156
6jYQ5buR4TCogmmJlvye3M,0.484,0.59,4.0,-8.617,0.0,0.0,0.135,0.117,1.79e-06,0.886,0.499,84.009
4tglB1pOtnay3gN2F8ma7T,0.603,0.709,6.0,-5.252,1.0,0.0,0.0717,0.0127,0.0,0.506,0.545,137.015
68TaBZKFuwaOHR6RzpdrVZ,0.381,0.864,1.0,-9.889,0.0,0.0,0.0587,0.000833,0.782,0.112,0.131,105.143
61l9g0bVRKuuNLVcpFGgGq,0.413,0.287,5.0,-11.82,1.0,0.0,0.0272,0.439,0.0016,0.111,0.402,84.55
3avb5dj4cwGZPVZB4tiRU5,0.8,0.873,5.0,-5.143,1.0,0.0,0.0606,0.158,0.0308,0.366,0.723,129.965
4cdbM6efK43Cs2PDMtzdhv,0.525,0.918,2.0,-4.512,1.0,0.0,0.0543,0.000356,0.566,0.0904,0.655,129.727
5Lysn50IrP729Y2H3MXJcs,0.408,0.705,2.0,-4.677,0.0,0.0,0.0408,0.00185,2.6e-05,0.285,0.062,103.871
270ueT8Mg9NJZNy9WEVCzq,0.688,0.575,2.0,-7.304,1.0,0.0,0.0304,0.194,0.0,0.149,0.609,122.022
7l0aNCKtv5GYRS4phvPXmN,0.249,0.448,7.0,-10.567,1.0,0.0,0.0281,0.0795,0.0723,0.0688,0.142,185.968
